rowname	logFC	logCPM	F	PValue	FDR
FBgn0035195	-0.23808243288020345	7.234896170843712	9.821876764993105	0.012118010584901247	0.1300212933985968
FBgn0023512	-0.4192862523895805	6.940881316648209	9.821260376033937	0.012119925114213682	0.1300212933985968
FBgn0086768	-0.2961348912188128	5.963885813278629	9.816871037725576	0.01213356936754174	0.1300212933985968
FBgn0004907	0.29359449685819644	9.207635866384265	9.785270493212122	0.012232360665329144	0.13083722786522187
FBgn0026679	-0.31886620555269635	5.992574205144246	9.776523654172161	0.012259880575027927	0.13083722786522187
FBgn0052181	0.8246652322934929	1.9101289215351762	9.767076850021468	0.012289688564124945	0.13083722786522187
FBgn0035461	0.4627161653899321	3.2228863056711665	9.764421014850294	0.012298084746288252	0.13083722786522187
FBgn0033261	0.5633772867814696	4.206699530142192	9.763977626545389	0.01229948716711806	0.13083722786522187
FBgn0000543	-0.3312380882489023	5.877286798003936	9.759485125875482	0.012313707907948852	0.13083722786522187
FBgn0035294	-0.30643644596094854	6.522015150744108	9.755807020081203	0.012325365827434716	0.13083722786522187
FBgn0036505	0.27907263467552607	6.748602700253331	9.71308840632098	0.012461766447000342	0.13168313494978356
FBgn0032499	-0.2508331507696596	5.449938195437528	9.709696745649737	0.012472675594626408	0.13168313494978356
FBgn0035414	0.49540858522060277	3.9027096485405273	9.708618403344056	0.01247614650874234	0.13168313494978356
FBgn0037338	0.3706262578985589	4.325243604357078	9.69720538501111	0.012512955273912264	0.13168313494978356
FBgn0035359	-0.6654616363780542	2.1880016786721965	9.694005983436465	0.012523297867314436	0.13168313494978356
FBgn0030420	0.4491331323320298	6.447495458776134	9.690114680742608	0.012535891357300544	0.13168313494978356
FBgn0065064	1.0456175247966408	1.1779461382262546	9.6879249169182	0.01254298499461311	0.13168313494978356
FBgn0052039	0.549341091066349	3.217505484058624	9.68722539317842	0.012545252112151593	0.13168313494978356
FBgn0033798	-0.9713592064712225	0.5901772215583427	9.684308107329919	0.012554712323157795	0.13168313494978356
FBgn0051992	0.28896146490718433	8.69350834727352	9.678567579950945	0.012573353478192339	0.13170421454207026
FBgn0011768	-0.332249613118253	7.287125667828005	9.668021303212875	0.012607689333248337	0.13186287255241094
FBgn0250824	0.8951399917286164	0.9226692062157921	9.656059378111175	0.012646774231753767	0.13186287255241094
FBgn0015277	-0.37340890914654673	5.92098103259365	9.653581553362228	0.012654889053839198	0.13186287255241094
FBgn0030653	-0.539494251124954	4.074613430148108	9.65351538582351	0.012655105839099928	0.13186287255241094
FBgn0019637	-0.2590194332038741	6.6332046388852755	9.647438802441586	0.01267503413816008	0.13189697153756857
FBgn0026192	0.2868704529676911	6.848831152295898	9.635098063188961	0.012715625131788583	0.1321457157724853
FBgn0037082	0.4603744847674009	4.523232328026286	9.617033802402469	0.012775331363614025	0.13259220061397048
FBgn0034982	-0.24906420982209607	5.86132706368778	9.597896456489444	0.01283896201040293	0.13278274538926982
FBgn0053217	1.2640261371338588	2.6629639357059856	9.593498599050017	0.01285363984432195	0.13278274538926982
FBgn0005558	-0.8989656323257396	0.5489710904203353	9.593111879119505	0.012854931510434172	0.13278274538926982
FBgn0029686	-0.5140828554943145	3.1152325737268245	9.589029293797553	0.012868577343528394	0.13278274538926982
FBgn0033100	0.44038871934985063	3.7959304685591806	9.582106684418852	0.012891756667370484	0.13278274538926982
FBgn0032034	0.46709187516341644	3.873974288069945	9.57750177829014	0.0129072040314	0.13278274538926982
FBgn0260991	-0.2406652294207973	7.564524625377702	9.57386809138853	0.012919409514075124	0.13278274538926982
FBgn0030749	-0.24257469500160625	6.390969385244032	9.571363290660537	0.012927831379609423	0.13278274538926982
FBgn0047205	0.665089111559252	5.703049322528539	9.55171885999527	0.012994116993235716	0.13321636565633446
FBgn0035358	-0.6674577481975091	1.6389211963258012	9.548890914046789	0.01300369373056529	0.13321636565633446
FBgn0261439	-0.29279947149905144	7.722890249970478	9.543292997158266	0.013022676560979352	0.13322967839254474
FBgn0040942	0.7461908141723734	5.015200603334243	9.538592871234405	0.013038641337823231	0.13322967839254474
FBgn0038704	0.3229883008096623	5.455350622180352	9.52693286968429	0.013078350865320386	0.13341072461644807
FBgn0026431	0.44659919499289275	4.326354416726558	9.523504949934505	0.013090053419242346	0.13341072461644807
FBgn0035593	-0.3350937632712734	5.173776576522076	9.501962003651744	0.013163895153168027	0.13357256570360657
FBgn0032925	0.29393181590178313	6.604809770080941	9.493895733642123	0.01319167567892331	0.13357256570360657
FBgn0250874	-0.36249121209483165	7.571480983487541	9.491441222064319	0.013200143453305946	0.13357256570360657
FBgn0004406	-0.2782062749725253	5.836207796260368	9.491406278687347	0.013200264052217879	0.13357256570360657
FBgn0039635	-0.30826852558601753	7.219326488186515	9.489827648175366	0.013205713744998132	0.13357256570360657
FBgn0003517	-0.4181210823289536	12.828649477150956	9.489415463398654	0.013207137131698946	0.13357256570360657
FBgn0259247	0.30211114945607037	6.135343640892085	9.472527679682194	0.013265618332870942	0.13399285301582714
FBgn0030891	-0.2584172373087111	5.557532935858407	9.46765990704943	0.013282534362599357	0.13399285301582714
FBgn0035980	0.5303053554235978	2.094195636417275	9.449773758878829	0.013344919604817894	0.13434558885271686
FBgn0000276	0.9274855626885196	2.5653295656884567	9.44791298891562	0.013351430537579008	0.13434558885271686
FBgn0034529	0.4170405542522713	4.727689953981812	9.436277972575054	0.013392231056998303	0.13458512403600198
FBgn0085260	1.0948596585320682	0.5833845169653192	9.405763511235259	0.013499969117372591	0.13549588775725419
FBgn0027605	-0.2862819497603964	8.183811884631929	9.391967809645319	0.013549028787984767	0.13568092795668737
FBgn0032724	0.3531059427921707	4.5169219308027095	9.390945630704561	0.013552672561401656	0.13568092795668737
FBgn0051759	0.6095039105856233	3.12121994671321	9.385762128418419	0.01357116887446568	0.13569455343042136
FBgn0039116	0.4476917345640623	3.515754244805041	9.378273969128236	0.013597943930401939	0.13578461001247752
FBgn0042174	0.31310030433618946	8.076088477174114	9.373661475919944	0.013614469042796711	0.13578461001247752
FBgn0027619	0.3515561846405722	7.258346293180158	9.365555409434222	0.013643570606547516	0.13590369262043997
FBgn0085257	0.6718229879752716	2.318829492712734	9.339150375959793	0.013738900946376609	0.13643677205455434
FBgn0010410	-0.49395884822178926	11.277995568019982	9.337949996684523	0.013743254184587815	0.13643677205455434
